len,spec_chars,domain,depth,numericals_count,word_count,label
84,11,0,4,15,26,1
126,17,0,9,30,28,1
54,7,0,4,20,10,1
58,7,0,4,15,19,1
53,8,0,4,18,12,1
42,6,0,4,15,4,1
107,14,0,9,32,23,1
49,7,0,4,15,12,1
124,16,0,9,32,38,1
45,6,0,4,15,9,1
117,14,0,9,30,28,1
109,14,0,9,29,30,1
118,16,0,9,31,29,1
46,6,0,4,19,4,1
46,7,0,4,20,4,1
44,4,0,4,15,4,1
46,6,0,4,19,4,1
46,6,0,4,19,4,1
47,7,0,4,19,4,1
69,12,0,4,15,16,1
44,6,0,4,15,7,1
44,6,0,4,15,7,1
54,6,0,4,15,20,1
59,6,0,4,15,24,1
56,6,0,4,15,16,1
48,6,0,4,19,4,1
46,6,0,4,12,11,1
48,7,0,4,20,4,1
76,11,0,4,15,22,1
45,6,0,4,20,4,1
45,6,0,4,20,4,1
45,6,0,4,16,6,1
44,6,0,4,15,5,1
55,6,0,4,15,17,1
45,6,0,4,20,4,1
47,6,0,4,20,4,1
45,6,0,4,20,4,1
53,3,0,3,8,29,1
51,4,0,3,6,23,1
52,4,0,2,9,18,1
51,4,0,3,1,27,1
44,4,0,2,0,18,1
41,3,0,2,6,15,1
63,5,0,3,12,17,1
51,3,0,2,11,12,1
64,4,0,3,12,21,1
61,4,0,3,12,17,1
56,4,0,3,12,19,1
58,5,0,3,11,13,1
58,4,0,3,10,17,1
61,4,0,3,9,19,1
113,8,0,4,36,25,1
20,2,0,1,0,6,1
44,5,0,1,0,13,1
26,3,0,2,1,6,1
18,3,0,1,1,1,1
24,3,0,1,1,8,1
31,3,0,2,0,11,1
27,2,0,1,1,20,1
45,3,0,2,1,25,1
39,5,0,1,13,7,1
19,2,0,1,1,4,1
30,4,0,3,2,3,1
32,4,0,1,2,5,1
17,2,0,1,1,5,1
56,8,0,1,11,27,1
28,3,0,1,1,17,1
44,8,0,1,12,15,1
34,4,0,2,4,11,1
54,6,0,2,13,8,1
43,4,0,2,3,11,1
23,3,0,1,1,11,1
20,3,0,1,1,0,1
21,3,0,1,1,8,1
23,3,0,1,1,3,1
18,2,0,1,1,4,1
23,2,0,1,0,8,1
23,2,0,1,0,8,1
24,2,0,1,1,9,1
19,3,0,1,2,2,1
30,4,0,1,1,9,1
33,4,0,1,8,7,1
19,2,0,1,1,5,1
24,4,0,1,1,13,1
20,3,0,1,3,5,1
37,4,0,2,2,13,1
17,2,0,1,1,5,1
28,2,0,1,1,20,1
52,9,0,2,12,18,1
28,2,0,1,1,18,1
46,5,0,1,0,25,1
30,4,0,1,0,11,1
31,2,0,2,0,16,1
18,2,0,1,0,12,1
46,4,0,3,2,20,1
20,1,0,1,0,11,1
47,4,0,3,1,20,1
38,4,0,1,0,18,1
